,Survived,Pclass,Sex,Embarked,Family,isAlone,Title,AgeBand,FareBand
0,0,3,1,2,2,0,10,1,0
1,1,1,0,0,2,0,11,3,3
2,1,3,0,2,1,1,9,2,1
3,1,1,0,2,2,0,11,3,3
4,0,3,1,2,1,1,10,3,1
5,0,3,1,1,1,1,10,2,1
6,0,1,1,2,1,1,10,4,3
7,0,3,1,2,5,0,8,0,2
8,1,3,0,2,3,0,11,2,1
9,1,2,0,0,2,0,11,1,2
10,1,3,0,2,3,0,9,0,2
11,1,1,0,2,1,1,9,5,2
12,0,3,1,2,1,1,10,1,1
13,0,3,1,2,7,0,10,3,3
14,0,3,0,2,1,1,9,1,0
15,1,2,0,2,1,1,11,4,2
16,0,3,1,1,6,0,8,0,2
17,1,2,1,2,1,1,10,2,1
18,0,3,0,2,2,0,11,2,2
19,1,3,0,0,1,1,11,2,0
20,0,2,1,2,1,1,10,3,2
21,1,2,1,2,1,1,10,2,1
22,1,3,0,1,1,1,9,1,1
23,1,1,1,2,1,1,10,2,3
24,0,3,0,2,5,0,9,0,2
25,1,3,0,2,7,0,11,3,3
26,0,3,1,0,1,1,10,2,0
27,0,1,1,2,6,0,10,1,3
28,1,3,0,1,1,1,9,2,0
29,0,3,1,2,1,1,10,2,0
30,0,1,1,0,1,1,3,3,2
31,1,1,0,0,2,0,11,2,3
32,1,3,0,1,1,1,9,2,0
33,0,2,1,2,1,1,10,5,1
34,0,1,1,0,2,0,10,2,3
35,0,1,1,2,2,0,10,3,3
36,1,3,1,0,1,1,10,2,0
37,0,3,1,2,1,1,10,1,1
38,0,3,0,2,3,0,9,1,2
39,1,3,0,0,2,0,9,1,1
40,0,3,0,2,2,0,11,3,1
41,0,2,0,2,2,0,11,2,2
42,0,3,1,0,1,1,10,2,0
43,1,2,0,0,4,0,9,0,3
44,1,3,0,1,1,1,9,1,0
45,0,3,1,2,1,1,10,2,1
46,0,3,1,1,2,0,10,2,2
47,1,3,0,1,1,1,9,2,0
48,0,3,1,0,3,0,10,2,2
49,0,3,0,2,2,0,11,1,2
50,0,3,1,2,6,0,8,0,3
51,0,3,1,2,1,1,10,1,0
52,1,1,0,0,2,0,11,4,3
53,1,2,0,2,2,0,11,2,2
54,0,1,1,0,2,0,10,5,3
55,1,1,1,2,1,1,10,2,3
56,1,2,0,2,1,1,9,1,1
57,0,3,1,0,1,1,10,2,0
58,1,2,0,2,4,0,9,0,2
59,0,3,1,2,8,0,8,0,3
60,0,3,1,0,1,1,10,1,0
61,1,1,0,2,1,1,9,3,3
62,0,1,1,2,2,0,10,3,3
63,0,3,1,2,6,0,8,0,2
64,0,1,1,0,1,1,10,2,2
65,1,3,1,0,3,0,8,2,2
66,1,2,0,2,1,1,11,2,1
67,0,3,1,2,1,1,10,1,1
68,1,3,0,2,7,0,9,1,1
69,0,3,1,2,3,0,10,2,1
70,0,2,1,2,1,1,10,2,1
71,0,3,0,2,8,0,9,1,3
72,0,2,1,2,1,1,10,1,3
73,0,3,1,0,2,0,10,2,1
74,1,3,1,2,1,1,10,2,3
75,0,3,1,2,1,1,10,2,0
76,0,3,1,2,1,1,10,2,0
77,0,3,1,2,1,1,10,2,1
78,1,2,1,2,3,0,8,0,2
79,1,3,0,2,1,1,9,2,1
80,0,3,1,2,1,1,10,1,1
81,1,3,1,2,1,1,10,2,1
82,1,3,0,1,1,1,9,2,0
83,0,1,1,2,1,1,10,2,3
84,1,2,0,2,1,1,9,1,1
85,1,3,0,2,4,0,11,2,2
86,0,3,1,2,5,0,10,1,3
87,0,3,1,2,1,1,10,2,1
88,1,1,0,2,6,0,9,1,3
89,0,3,1,2,1,1,10,2,1
90,0,3,1,2,1,1,10,2,1
91,0,3,1,2,1,1,10,1,0
92,0,1,1,2,2,0,10,4,3
93,0,3,1,2,4,0,10,2,2
94,0,3,1,2,1,1,10,5,0
